,Year,Artist,Title,Popularity,Youtube,Youtube2
0,2011,Adele,Someone Like You,79,https://youtu.be/hLQl3WQQoQ0,[YouTube Link](https://youtu.be/hLQl3WQQoQ0)
1,2011,Adele,Set Fire to the Rain,75,https://youtu.be/Ri7-vnrJD3k,[YouTube Link](https://youtu.be/Ri7-vnrJD3k)
2,2011,Adele,Turning Tables,66,https://youtu.be/bsFCO8-oCEQ,[YouTube Link](https://youtu.be/bsFCO8-oCEQ)
3,2011,Adele,Rumour Has It,65,https://youtu.be/A8IRqCJVkOo,[YouTube Link](https://youtu.be/A8IRqCJVkOo)
4,2012,Rihanna,Stay - Album Version (Edited),66,https://youtu.be/JF8BRvqGCNs,[YouTube Link](https://youtu.be/JF8BRvqGCNs)
5,2012,Rihanna,Diamonds,67,https://youtu.be/lWA2pjMjpBs,[YouTube Link](https://youtu.be/lWA2pjMjpBs)
6,2013,Justin Timberlake,Mirrors,77,https://youtu.be/uuZE_IRwLNI,[YouTube Link](https://youtu.be/uuZE_IRwLNI)
7,2017,Ed Sheeran,Perfect,87,https://youtu.be/2Vv-BfVoq4g,[YouTube Link](https://youtu.be/2Vv-BfVoq4g)
8,2017,Ed Sheeran,Shape of You,87,https://youtu.be/JGwWNGJdvx8,[YouTube Link](https://youtu.be/JGwWNGJdvx8)
9,2017,Ed Sheeran,Castle on the Hill,79,https://youtu.be/7Qp5vcuMIlk,[YouTube Link](https://youtu.be/7Qp5vcuMIlk)
10,2017,Ed Sheeran,Happier,83,https://youtu.be/iWZmdoY1aTE,[YouTube Link](https://youtu.be/iWZmdoY1aTE)
11,2017,Ed Sheeran,Galway Girl,80,https://youtu.be/87gWaABqGYs,[YouTube Link](https://youtu.be/87gWaABqGYs)
12,2017,Ed Sheeran,Supermarket Flowers,78,https://youtu.be/bIB8EWqCPrQ,[YouTube Link](https://youtu.be/bIB8EWqCPrQ)
13,2017,The Chainsmokers,Something Just Like This,84,https://youtu.be/FM7MFYoylVs,[YouTube Link](https://youtu.be/FM7MFYoylVs)
14,2018,Imagine Dragons,Natural,84,https://youtu.be/fKopy74weus,[YouTube Link](https://youtu.be/fKopy74weus)
15,2018,Imagine Dragons,Bad Liar,83,https://youtu.be/I-QfPUz1es8,[YouTube Link](https://youtu.be/I-QfPUz1es8)
16,2010,No Winner in This Year,,,Empty,Empty
17,2014,No Winner in This Year,,,Empty,Empty
18,2015,No Winner in This Year,,,Empty,Empty
19,2016,No Winner in This Year,,,Empty,Empty
20,2019,No Winner in This Year,,,Empty,Empty
